epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.538,1.38486,3.36919,1.22503,0.00176,0.49739,0.14824,0.08634,1.10109,3.45405,1.03347,0.000545744,0.000545744,0.000545744
2,37.2556,1.21039,2.31058,1.09731,0.33842,0.51641,0.31031,0.20837,1.14803,2.33633,1.12636,0.00106506,0.00106506,0.00106506
3,53.1986,1.26055,2.0436,1.15118,0.40332,0.72375,0.45447,0.29681,1.16178,1.98386,1.12581,0.00154771,0.00154771,0.00154771
4,68.9405,1.18181,1.77718,1.12905,0.41225,0.696,0.433,0.28064,1.16698,2.13829,1.15793,0.00150197,0.00150197,0.00150197
5,84.734,1.15894,1.60239,1.13204,0.42539,0.70846,0.43372,0.30567,1.09957,1.45357,1.11688,0.00144696,0.00144696,0.00144696
6,100.816,1.13656,1.47292,1.10382,0.4429,0.77354,0.47124,0.33161,1.06813,1.33791,1.06468,0.00139195,0.00139195,0.00139195
7,117.145,1.1483,1.39997,1.10842,0.44735,0.77519,0.48516,0.33922,1.12071,1.32713,1.10159,0.00133693,0.00133693,0.00133693
8,132.632,1.13008,1.37277,1.09361,0.45253,0.79187,0.4672,0.32288,1.06886,1.30465,1.08609,0.00128192,0.00128192,0.00128192
9,147.944,1.10808,1.31341,1.09172,0.4532,0.81889,0.50047,0.35802,1.04298,1.2437,1.04818,0.00122691,0.00122691,0.00122691
10,163.369,1.07101,1.27667,1.07538,0.44911,0.80301,0.47811,0.34054,1.03082,1.22948,1.06183,0.0011719,0.0011719,0.0011719
11,180.15,1.04518,1.24802,1.06478,0.47235,0.79953,0.48777,0.35967,0.99636,1.20823,1.03156,0.00111689,0.00111689,0.00111689
12,195.765,1.03995,1.20863,1.06037,0.45339,0.8149,0.4892,0.35448,0.98309,1.17617,1.02846,0.00106188,0.00106188,0.00106188
13,211.237,1.02406,1.20357,1.05556,0.45139,0.8059,0.4803,0.35519,1.00207,1.22438,1.03776,0.00100687,0.00100687,0.00100687
14,226.764,1.0243,1.19,1.04211,0.43952,0.78988,0.47759,0.34975,0.99379,1.20778,1.04466,0.000951857,0.000951857,0.000951857
15,246.33,1.03079,1.16242,1.05765,0.45541,0.85266,0.49836,0.36122,1.0265,1.20289,1.03539,0.000896846,0.000896846,0.000896846
16,262.388,0.99344,1.13286,1.03337,0.46226,0.84425,0.47256,0.3511,0.95228,1.15691,1.01621,0.000841835,0.000841835,0.000841835
17,278.081,0.95431,1.11357,1.02095,0.46891,0.82139,0.48343,0.34592,1.00309,1.16046,1.03547,0.000786824,0.000786824,0.000786824
18,295.386,0.94747,1.08736,1.02964,0.4453,0.87794,0.48629,0.34875,0.94985,1.20449,1.01784,0.000731813,0.000731813,0.000731813
19,311.437,0.94547,1.08752,1.0271,0.44692,0.84513,0.44968,0.32559,0.98247,1.14109,1.03102,0.000676802,0.000676802,0.000676802
20,326.73,0.94004,1.05573,1.0021,0.44903,0.88169,0.45297,0.33232,0.94698,1.15282,1.01084,0.000621791,0.000621791,0.000621791
21,344.285,0.86506,1.01061,0.98826,0.43379,0.88084,0.44488,0.32492,0.94302,1.14313,1.01357,0.00056678,0.00056678,0.00056678
22,359.523,0.87347,0.97592,0.98452,0.44039,0.89562,0.47919,0.35018,0.95957,1.15821,1.01756,0.000511769,0.000511769,0.000511769
23,375.169,0.86498,0.98224,0.98978,0.4229,0.87114,0.44858,0.32276,0.95154,1.19363,1.01958,0.000456758,0.000456758,0.000456758
24,390.008,0.85347,0.98308,0.98466,0.44438,0.90458,0.49222,0.36713,0.92346,1.13198,1.0006,0.000401747,0.000401747,0.000401747
25,405.002,0.83962,0.92843,0.9778,0.4409,0.89431,0.47888,0.34805,0.91712,1.20654,1.00776,0.000346736,0.000346736,0.000346736
26,419.954,0.80213,0.9043,0.9624,0.45625,0.87211,0.47437,0.35548,0.90142,1.17605,0.99572,0.000291725,0.000291725,0.000291725
27,434.926,0.80678,0.87162,0.95476,0.42539,0.88698,0.44601,0.33071,0.9015,1.2502,0.98881,0.000236714,0.000236714,0.000236714
28,450.692,0.79689,0.87151,0.94939,0.4445,0.87435,0.46493,0.34384,0.92614,1.16463,0.9881,0.000181703,0.000181703,0.000181703
29,466.009,0.78952,0.84487,0.95022,0.45921,0.87068,0.47028,0.34109,0.90778,1.15469,0.9856,0.000126692,0.000126692,0.000126692
30,480.757,0.77257,0.79258,0.94139,0.46047,0.89715,0.49302,0.36649,0.89782,1.14473,0.98336,7.1681e-05,7.1681e-05,7.1681e-05
